地段位置或門牌,社區簡稱,交易日期,總價(萬元),"單價
(萬元/坪)","總面積
(坪)",主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,"車位總價
(萬元)",管理組織,電梯,主要用途,備註
士林區延平北路六段３９２巷６號七樓之８,,115/06/11,900,39.59,22.73,61.44%,住宅大樓(11層含以上有電梯),20,七層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;夾層;
士林區忠誠路一段４７號六樓,士林御花園,115/06/08,2918,87.59,33.31,75.19%,華廈(10層含以下有電梯),41,六層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,陽台加窗。陽台外推;其他增建;
士林區承德路四段２８８號七樓,金花園,115/06/02,2728,65,41.97,71.20%,住宅大樓(11層含以上有電梯),40,七層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,
士林區忠誠路一段５５號二樓,士林御花園,115/06/01,2650,78.91,33.58,69.70%,華廈(10層含以下有電梯),41,二層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,
士林區劍潭路１２號九樓之２,圓山凡登,115/05/31,1600,100.58,15.91,54.06%,住宅大樓(11層含以上有電梯),17,九層/十四層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,有,有,住家用,
士林區東山路２５巷５１弄５號,,115/05/29,20000,0,132.53,,透天厝,56,全/二層,房地(土地+建物),土:2 建:1車:0,5房2廳5衛,,有,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區忠誠路二段９８巷７弄８號十二樓,,115/05/28,12200,127.09,96,58.44%,住宅大樓(11層含以上有電梯),2,十二層/十四層,房地(土地+建物)+車位,土:1 建:1車:2,3房2廳3衛,,有,有,住家用,
士林區延平北路八段９６巷４１號四樓,,115/05/27,680,30.64,22.19,93.80%,公寓(5樓含以下無電梯),57,四層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
士林區天玉街２７巷２５號十樓,,115/05/27,3690,110.44,43.96,61.77%,住宅大樓(11層含以上有電梯),2,十層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,300,有,有,住家用,
士林區士東路２６６巷３弄１１之１號地下,,115/05/24,500,19.43,25.73,100.00%,公寓(5樓含以下無電梯),46,地下層/五層,房地(土地+建物),土:5 建:1車:0,3房2廳1衛,,無,無,其他,親友、員工、共有人或其他特殊關係間之交易;含租約;
士林區福華路１９０號四樓,富林天母極品磺溪特區,115/05/24,5500,86.18,84.16,58.93%,住宅大樓(11層含以上有電梯),26,四層/十二層,房地(土地+建物)+車位,土:4 建:1車:2,3房2廳2衛,560,有,有,住家用,
士林區天母西路５０巷２０之２號六樓,天母強者薔薇華廈,115/05/24,6060,93.2,75.15,68.43%,住宅大樓(11層含以上有電梯),30,"六層,電梯樓梯間/十一層",房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,400,有,有,住家用,其他增建;
士林區明溪街３５巷３號三樓,,115/05/22,980,31.23,31.38,100.00%,公寓(5樓含以下無電梯),50,三層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳1衛,,無,無,住家用,其他增建;
士林區中正路６５５巷８號十三樓,渼士林,115/05/22,1001.3,17.62,56.82,49.21%,住宅大樓(11層含以上有電梯),12,十三層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,3房1廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區建業路１１巷１５號三樓,朵爾大廈,115/05/21,780,52.38,14.89,59.35%,華廈(10層含以下有電梯),8,三層/四層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區建業路１１巷１５之１號三樓,朵爾大廈,115/05/21,710,47.9,14.82,59.37%,華廈(10層含以下有電梯),8,三層/四層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區建業路１１巷１５之２號三樓,朵爾大廈,115/05/21,860,52.45,16.4,58.10%,華廈(10層含以下有電梯),8,三層/四層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區福港街２３號四樓,,115/05/20,1580,73.36,21.54,93.68%,公寓(5樓含以下無電梯),53,四層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,頂樓加蓋;
士林區福志路２５號四樓,,115/05/20,4250,114.99,44.76,57.04%,住宅大樓(11層含以上有電梯),1,四層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,310,有,有,住家用,
士林區中正路２１３巷１１號,,115/05/18,2550,107.06,23.82,75.72%,華廈(10層含以下有電梯),31,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,
士林區基河路１６之２號八樓之２,圓山窗外,115/05/17,1968,156.99,12.54,54.37%,住宅大樓(11層含以上有電梯),21,八層/十一層,房地(土地+建物),土:1 建:1車:0,1房2廳1衛,,有,有,辦公用,其他增建;
士林區文林路７６３號九樓之１,寶殿大廈,115/05/16,485,78.21,6.2,83.27%,住宅大樓(11層含以上有電梯),45,九層/十一層,房地(土地+建物),土:3 建:1車:0,1房1廳1衛,,有,有,住家用,
士林區延平北路六段１９１號二樓,,115/05/16,1120,43.35,25.83,100.00%,公寓(5樓含以下無電梯),53,二層/四層,房地(土地+建物),土:1 建:1車:0,4房1廳1衛,,無,無,住家用,
士林區延平北路六段２２８號七樓,豐澤,115/05/15,4760,72.31,65.83,41.40%,華廈(10層含以下有電梯),5,"七層,見其他登記事項/七層",房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,,有,有,住家用,
士林區文昌路１４０巷１０號,,115/05/15,151.3,30.3,4.99,100.00%,公寓(5樓含以下無電梯),49,"一層,平台/四層",房地(土地+建物),土:1 建:1車:0,4房1廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區文林路７６３號七樓之６,寶殿大廈,115/05/15,1430,69.02,20.72,67.79%,住宅大樓(11層含以上有電梯),45,七層/十一層,房地(土地+建物),土:3 建:1車:0,2房2廳1衛,,有,有,住家用,陽台外推;
士林區福港街２６２巷２０號五樓,,115/05/14,1250,50.6,24.71,85.72%,公寓(5樓含以下無電梯),46,五層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,頂樓加蓋;
士林區芝玉路一段２００號十五樓,,115/05/14,5350,64.85,82.5,46.88%,住宅大樓(11層含以上有電梯),30,十五層/十九層,房地(土地+建物)+車位,土:1 建:1車:2,4房2廳2衛,,有,有,住家用,
士林區文林路７１８號,財星,115/05/12,6000,151.76,39.54,68.91%,華廈(10層含以下有電梯),37,一層/十層,房地(土地+建物),土:1 建:1車:0,1廳1衛,,有,有,商業用,其他增建;
士林區德行東路１０４巷１１弄１號二樓,,115/05/12,1836,68.25,26.9,92.23%,公寓(5樓含以下無電梯),44,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,其他增建;
士林區承德路四段６巷４６號三樓,,115/05/12,1500,62.08,24.16,100.00%,公寓(5樓含以下無電梯),52,三層/四層,房地(土地+建物),土:1 建:1車:0,1房2廳1衛,,無,無,住家用,
士林區前街１１５巷４號,,115/05/11,1250,74.54,16.77,100.00%,公寓(5樓含以下無電梯),57,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
士林區重慶北路四段４９巷５３號五樓,萊茵首席,115/05/11,1260,55.66,22.64,50.77%,華廈(10層含以下有電梯),5,五層/七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,辦公用,親友、員工、共有人或其他特殊關係間之交易;
士林區福壽街４５號六樓,築禾韻,115/05/10,2055,108,21.95,52.03%,華廈(10層含以下有電梯),10,六層/七層,房地(土地+建物)+車位,土:2 建:1車:1,2房2廳1衛,200,有,有,住家用,夾層;其他增建;
士林區承德路四段９０號,圓山ART,115/05/09,6000,122.56,55.41,65.65%,住宅大樓(11層含以上有電梯),4,"一層,二層/十五層",房地(土地+建物)+車位,土:1 建:1車:1,2廳2衛,250,有,有,商業用,
士林區劍潭路１２號七樓之２,圓山凡登,115/05/09,1790,64.31,27.83,30.90%,住宅大樓(11層含以上有電梯),17,七層/十四層,房地(土地+建物)+車位,土:2 建:1車:1,1房1廳1衛,290,有,有,住家用,
士林區延平北路八段２巷５７弄７號三樓,,115/05/09,930,41.89,22.2,100.00%,公寓(5樓含以下無電梯),57,"三層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,
士林區芝玉路一段２２６號十五樓之２,遠雄天母,115/05/08,6000,87.51,81.79,62.13%,住宅大樓(11層含以上有電梯),17,十五層/十八層,房地(土地+建物)+車位,土:1 建:1車:2,4房2廳2衛,600,有,有,住家用,
士林區福志路２７號九樓,,115/05/08,8218,130.25,79.75,56.76%,住宅大樓(11層含以上有電梯),1,九層/十四層,房地(土地+建物)+車位,土:1 建:1車:2,3房2廳2衛,500,有,有,住家用,
士林區社中街２６４巷１弄４號五樓,,115/05/08,1630,54.34,30,86.27%,公寓(5樓含以下無電梯),43,五層/五層,房地(土地+建物),土:1 建:1車:0,3房3廳2衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;
士林區天母北路５６號十樓,聯上天母,115/05/07,6500,114.01,73.9,51.84%,住宅大樓(11層含以上有電梯),6,十層/二十四層,房地(土地+建物)+車位,土:1 建:1車:2,2房2廳2衛,750,有,有,住家用,
士林區中山北路五段６９９巷２號三樓,,115/05/06,3858,75.08,59.71,78.33%,華廈(10層含以下有電梯),33,三層/七層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,300,有,有,住家用,
士林區文林路７６５號四樓之７,寶殿大廈,115/05/06,1630,66.88,24.37,74.68%,住宅大樓(11層含以上有電梯),45,四層/十一層,房地(土地+建物),土:3 建:1車:0,2房1廳1衛,,有,有,住家用,
士林區文林路５５６號九樓之２,文林苑,115/05/06,4736,80.52,58.82,58.99%,住宅大樓(11層含以上有電梯),10,九層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,
士林區中山北路七段２０５之３號,,115/05/05,2700,71.9,37.55,73.51%,華廈(10層含以下有電梯),46,一層/七層,房地(土地+建物),土:1 建:1車:0,5房5衛,,有,有,住家用,
士林區葫蘆街５４巷３弄３號四樓,,115/05/05,1600,57.45,27.85,86.74%,公寓(5樓含以下無電梯),48,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
士林區中山北路五段８５０巷２９號三樓,,115/05/05,1500,49.05,30.58,92.54%,公寓(5樓含以下無電梯),45,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區至誠路二段４７之１號五樓,,115/05/03,1955,60.01,32.58,80.95%,公寓(5樓含以下無電梯),44,五層/五層,房地(土地+建物),土:1 建:1車:0,7房2廳7衛,,無,無,住家用,陽台外推;頂樓加蓋;
士林區天玉街３８巷１１之１號三樓,,115/05/03,2420,72.42,33.42,84.45%,公寓(5樓含以下無電梯),47,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,其他增建：陽台外推加窗、壹樓空地垂直增建。其他增建;
士林區天母東路１０５巷３７號五樓之２,,115/05/03,2858,108.69,36.29,52.82%,華廈(10層含以下有電梯),2,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,350,無,有,住家用,
士林區忠誠路二段２１巷３３號五樓,,115/05/03,1828,56.34,32.45,82.96%,公寓(5樓含以下無電梯),41,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;
士林區福國路９８號七樓之８,雙子星,115/05/03,2710,75.63,35.83,80.30%,住宅大樓(11層含以上有電梯),47,七層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,
士林區延平北路五段２５７巷２弄８號四樓,,115/05/03,990,56.7,17.46,100.00%,公寓(5樓含以下無電梯),55,四層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,頂樓加蓋;
士林區美崙街６２巷１６號四樓,,115/05/03,1606,55.83,28.77,84.61%,公寓(5樓含以下無電梯),46,四層/五層,房地(土地+建物),土:4 建:1車:0,3房2廳1衛,,無,無,住家用,雨遮增建、鐵鋁窗增建陽台外推;其他增建;
士林區社中街１５２巷３０號三樓之５,葫蘆奇蹟,115/05/03,1015,52.1,19.48,69.22%,華廈(10層含以下有電梯),31,三層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區中山北路六段２巷４３號三樓,,115/05/02,2630,76.95,34.18,84.13%,公寓(5樓含以下無電梯),44,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;
士林區至善路二段４２３號,,115/05/01,7500,0,64.7,,透天厝,58,全/二層,房地(土地+建物),土:2 建:1車:0,7房2廳3衛,,無,無,住家用,頂樓加蓋;其他增建;
士林區文林路６６１巷３９弄７號三樓,,115/05/01,2288,75.23,30.41,85.93%,公寓(5樓含以下無電梯),46,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
士林區社中街３２２號三樓,,115/04/28,744,24.56,30.3,84.38%,公寓(5樓含以下無電梯),47,三層/四層,房地(土地+建物),土:5 建:1車:0,3房1廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區永平街７５巷４４號二樓,,115/04/28,1450,57.1,25.39,87.04%,公寓(5樓含以下無電梯),49,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
士林區中山北路六段４４１巷３０號八樓之１,御上天母,115/04/27,9800,125.5,93.75,54.86%,住宅大樓(11層含以上有電梯),2,八層/十七層,房地(土地+建物)+車位,土:1 建:1車:2,,700,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區社中街１２０號三樓,,115/04/27,1600,54.86,29.17,91.83%,公寓(5樓含以下無電梯),49,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
士林區中社路一段３９號四樓,,115/04/27,1580,50.75,31.13,100.00%,公寓(5樓含以下無電梯),51,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;
士林區中正路７０７巷１之１號九樓,忠誠,115/04/27,600,19.03,31.53,66.78%,住宅大樓(11層含以上有電梯),43,九層/十二層,房地(土地+建物),土:3 建:1車:0,3房1廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區通河街３２５巷８之４號,劍潭國宅D區,115/04/27,500,56.07,8.92,89.15%,公寓(5樓含以下無電梯),55,四層/五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,
士林區忠誠路二段１４０巷３號三樓,,115/04/26,2500,61.1,40.92,77.55%,公寓(5樓含以下無電梯),45,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區承德路四段１０巷１１號六樓,,115/04/26,1200,46.53,25.79,79.85%,公寓(5樓含以下無電梯),43,六層/六層,房地(土地+建物),土:3 建:1車:0,2房1廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;陽台外推;
士林區通河西街二段４３號三樓之３,綠色華夏,115/04/24,244,30.44,8.02,57.77%,住宅大樓(11層含以上有電梯),31,三層/十一層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區中山北路六段４５０巷１之１號二樓,,115/04/24,2000,65.74,30.42,82.70%,公寓(5樓含以下無電梯),40,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
士林區通河東街一段８７號五樓,,115/04/24,1000,46.21,21.64,89.04%,公寓(5樓含以下無電梯),46,五層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;
士林區重慶北路四段１６５號九樓之２,士林金站,115/04/24,3850,62.66,61.44,61.11%,華廈(10層含以下有電梯),29,"九層,十層,電梯樓梯間/十層",房地(土地+建物)+車位,土:1 建:2車:1,5房2廳2衛,,有,有,住家用,夾層;
士林區中正路４２０號六樓,台北市中正陽明花園,115/04/23,38861.2,92.38,420.66,52.20%,住宅大樓(11層含以上有電梯),26,六層/十四層,房地(土地+建物)+車位,土:2 建:1車:8,,,有,有,商業用,政府機關標讓售;
士林區天母西路４１巷２號六樓之３,,115/04/22,2280,95.62,30.94,40.51%,華廈(10層含以下有電梯),34,六層/六層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,250,有,有,住家用,陽台外推;其他增建;
士林區延平北路五段１３７號,,115/04/22,4500,0,71.47,,透天厝,63,全/三層,房地(土地+建物),土:2 建:1車:0,7房7廳4衛,,無,無,住家用,其他增建;
士林區通河街３２５巷１８之４號,劍潭國宅D區,115/04/22,450,50.46,8.92,89.15%,公寓(5樓含以下無電梯),55,四層/五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,
士林區大南路３２９號二樓,新天地,115/04/21,3218,75.16,46.94,64.35%,住宅大樓(11層含以上有電梯),18,二層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,300,有,有,商業用,其他增建;
士林區小北街２８號三樓之６,花寓藏,115/04/21,2240,117.22,19.11,48.87%,華廈(10層含以下有電梯),7,三層/九層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,陽台外推;其他增建;
士林區天母北路５６號二十三樓之２,聯上天母,115/04/21,6800,110.1,79.15,51.63%,住宅大樓(11層含以上有電梯),6,二十三層/二十四層,房地(土地+建物)+車位,土:1 建:1車:2,3房2廳2衛,670,有,有,住家用,
士林區天母東路８１巷２０弄７號二樓,滿園春,115/04/21,1970,59.98,32.84,79.60%,公寓(5樓含以下無電梯),41,二層/五層,房地(土地+建物),土:3 建:1車:0,2房2廳2衛,,有,無,住家用,陽台外推;
士林區福華路８號四樓,隨河,115/04/21,3700,85.18,43.44,61.25%,華廈(10層含以下有電梯),8,四層/九層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,
士林區天母東路８１巷２０弄２０號二樓,滿園春,115/04/20,2100,60.63,34.64,88.78%,公寓(5樓含以下無電梯),41,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,無,住家用,陽台外推;其他增建;
士林區天母北路２８巷７號二樓,,115/04/19,1820,55.94,32.53,85.34%,公寓(5樓含以下無電梯),49,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,
士林區忠誠路二段１０４號九樓,天母鬱金香,115/04/19,3960,88.08,44.96,74.30%,住宅大樓(11層含以上有電梯),40,九層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,陽台外推;
士林區通河東街一段２３號二樓,,115/04/19,1600,61.37,26.07,92.25%,公寓(5樓含以下無電梯),43,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳1衛,,無,無,住家用,
士林區社子街１２５巷４０弄４號四樓,,115/04/18,1380,56.97,24.22,100.00%,公寓(5樓含以下無電梯),49,"四層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,4房3廳2衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;
士林區德行東路１０９巷８７號四樓,,115/04/18,2080,55.97,37.16,87.54%,公寓(5樓含以下無電梯),48,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;
士林區中山北路六段２巷５３號二樓,,115/04/18,2180,65.31,33.38,84.89%,公寓(5樓含以下無電梯),42,二層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,陽台外推;
士林區克強路１０巷３弄１０號二樓,,115/04/17,4040,50.34,80.26,85.50%,公寓(5樓含以下無電梯),42,二層/五層,房地(土地+建物),土:2 建:1車:0,5房3廳3衛,,無,無,住家用,雙方約定台北市士林區蘭雅段一小段10650建號與同區段241地號之應有部分買賣價款合計為3905萬元整;同區段241-1地號土地之買賣價款為135萬元整。陽台外推;其他增建;
士林區福志路２７號四樓,,115/04/16,6200,114.7,61.55,57.20%,住宅大樓(11層含以上有電梯),1,四層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,345,有,有,住家用,
士林區中山北路六段１９５巷６號十三樓之２,,115/04/15,5980,107.47,55.64,48.07%,住宅大樓(11層含以上有電梯),18,十三層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,
士林區福志路２７號八樓,,115/04/14,8328,130.06,79.91,56.61%,住宅大樓(11層含以上有電梯),1,八層/十四層,房地(土地+建物)+車位,土:1 建:1車:2,3房2廳2衛,600,有,有,住家用,含裝潢費;
士林區和豐街１２號,,115/04/14,1500,45.91,32.67,100.00%,公寓(5樓含以下無電梯),56,二層/四層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區中山北路六段２３６巷９號三樓之１,,115/04/13,4610,111.1,50.67,57.02%,住宅大樓(11層含以上有電梯),4,三層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,350,有,有,住家用,
士林區中山北路五段６１８號十二樓之１,,115/04/13,6905,125.42,62.62,60.17%,住宅大樓(11層含以上有電梯),1,十二層/十四層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,320,有,有,住家用,
士林區葫蘆街４７巷６號,,115/04/13,335.5,29.82,11.25,100.00%,公寓(5樓含以下無電梯),50,"三層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區中正路３３５巷３７號,,115/04/12,1558,70.07,22.23,100.00%,公寓(5樓含以下無電梯),54,三層/四層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住家用,其他增建;
士林區忠誠路一段１７１巷１２弄５號九樓,天母懷德A座,115/04/12,5800,92.9,62.43,76.31%,住宅大樓(11層含以上有電梯),16,九層/十二層,房地(土地+建物)+車位,土:2 建:2車:1,4房2廳2衛,,有,有,住家用,
士林區德行東路１９０巷３１弄１７號二樓,天母揚名大樓,115/04/12,3180,73.05,43.53,48.20%,華廈(10層含以下有電梯),17,二層/七層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,280,無,有,住家用,其他增建;
士林區天母北路２８巷３９號二樓之２、二樓之３,天母小西華,115/04/12,2000,92.5,21.62,51.43%,華廈(10層含以下有電梯),18,二層/九層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,有,有,住家用,陽台外推;夾層;
士林區德行東路１０４巷９弄８號三樓,,115/04/12,2088,67.03,31.15,90.50%,公寓(5樓含以下無電梯),44,三層/五層,房地(土地+建物),土:5 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;
士林區雨農路７６號六樓,雨農山莊,115/04/11,4200,62.81,66.86,52.82%,住宅大樓(11層含以上有電梯),21,六層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,車位需定期抽籤其他增建;
士林區忠誠路一段１７３巷１９號九樓,無相寓所,115/04/11,8400,82.36,124.74,55.36%,華廈(10層含以下有電梯),12,"九層,十層/十層",房地(土地+建物)+車位,土:1 建:1車:4,,940,有,有,住家用,陽台外推;其他增建;
士林區明溪街３５巷３號四樓,,115/04/11,1260,40.15,31.38,100.00%,公寓(5樓含以下無電梯),50,四層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,頂樓加蓋;
士林區永平街８０巷３１號三樓,,115/04/10,800,30.4,26.31,93.24%,公寓(5樓含以下無電梯),49,三層/三層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區劍潭路７１號五樓之２,新都里,115/04/10,2455,99.03,24.79,65.10%,住宅大樓(11層含以上有電梯),19,五層/十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,其他增建;
士林區天玉街１０４號二樓之１,天母羅丹,115/04/10,1168,90.19,12.95,62.35%,華廈(10層含以下有電梯),31,二層/八層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,陽台外推;夾層;
士林區基河路３６６號五樓,宏泰陽明,115/04/10,2200,47.98,45.86,63.28%,華廈(10層含以下有電梯),29,五層/八層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區中山北路五段８１１巷２２號二樓,,115/04/10,2428,78.81,30.81,94.47%,華廈(10層含以下有電梯),49,"二層,陽臺/七層",房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用,陽台外推;
士林區中山北路七段２１９巷１０之１號四樓,,115/04/09,3200,56.57,56.57,73.17%,華廈(10層含以下有電梯),41,"四層,五層/七層",房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,有,住家用,陽台外推;
士林區忠誠路二段１５４巷２３弄１之２號,,115/04/09,2366,85.03,27.83,94.58%,公寓(5樓含以下無電梯),46,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;
士林區延平北路六段２６號,,115/04/09,450,0,7.05,,透天厝,57,全/二層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;其他增建;
士林區中正路２０１巷３６號二樓,,115/04/08,1300,90.3,14.4,100.00%,公寓(5樓含以下無電梯),61,二層/二層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,頂樓加蓋;
士林區福志路２７號十一樓,,115/04/08,8368,131.16,80.23,56.79%,住宅大樓(11層含以上有電梯),1,十一層/十四層,房地(土地+建物)+車位,土:1 建:1車:2,3房2廳2衛,600,有,有,住家用,含裝潢費;
士林區中正路５０１號,霞關,115/04/07,3088,138.1,22.36,84.55%,住宅大樓(11層含以上有電梯),39,一層/十六層,房地(土地+建物),土:1 建:1車:0,1衛,,有,有,住商用,其他增建;
士林區重慶北路四段１６５之２號,士林金站,115/04/07,2670.4,88.66,30.12,60.25%,華廈(10層含以下有電梯),29,"一層,夾層/十層",房地(土地+建物)+車位,土:1 建:1車:1,1衛,,有,有,商業用,
士林區天母北路８７巷２弄１０號三樓,,115/04/06,3860,77.9,57.15,80.82%,華廈(10層含以下有電梯),42,三層/七層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,350,有,有,住家用,
士林區承德路四段１１６號三樓之６,,115/04/05,1043,80,13.04,83.48%,華廈(10層含以下有電梯),48,三層/七層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,
士林區福港街１９巷３號四樓,大漢君址,115/04/05,2618,65.39,40.04,59.50%,華廈(10層含以下有電梯),20,四層/八層,房地(土地+建物)+車位,土:1 建:1車:2,1房1廳1衛,,有,有,住家用,
士林區中社路二段９１巷２號二樓,,115/04/05,980,31.23,31.38,100.00%,公寓(5樓含以下無電梯),50,二層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,陽台外推;
